Majority protein IDs,iBAQ C,iBAQ M,iBAQ MTBE
PGSC0003DMP400002853,1015700,1934800,1708500
PGSC0003DMP400033144,1686400,2861400,1704300
PGSC0003DMP400022668,757160,830910,1684300
PGSC0003DMP400011112,1928700,411880,1680100
PGSC0003DMP400036191,927260,1841300,1671100
PGSC0003DMP400001133,1475600,588130,1665800
PGSC0003DMP400047733,1350300,3912100,1636500
PGSC0003DMP400009870,1073100,1442600,1635600
PGSC0003DMP400026875,1332300,1279000,1630100
PGSC0003DMP400003446,1416800,1419900,1626000
PGSC0003DMP400047989,1457700,1204400,1594400
PGSC0003DMP400053745,0,3857300,1590600
PGSC0003DMP400048187,1087000,1032900,1575900
PGSC0003DMP400010252,1962300,0,1575800
PGSC0003DMP400027873,543680,768420,1567700
PGSC0003DMP400043458,0,1884800,1564700
PGSC0003DMP400002445,2477700,3392400,1564000
PGSC0003DMP400030537,0,0,1560100
PGSC0003DMP400051599,391990,754970,1554800
PGSC0003DMP400014953,636300,0,1554700
PGSC0003DMP400043115,2123000,1113700,1531200
PGSC0003DMP400049611,2560700,793290,1520500
PGSC0003DMP400041814,482690,2203100,1515900
PGSC0003DMP400021552,439920,472450,1509900
PGSC0003DMP400035769,178020,989460,1506600
PGSC0003DMP400000159,1535800,2244100,1504600
PGSC0003DMP400033822,1532100,1196400,1493000
PGSC0003DMP400013238,903200,798330,1488000
PGSC0003DMP400051725,684370,1777900,1479100
PGSC0003DMP400041918,934700,1529600,1458900
PGSC0003DMP400010181,626800,0,1416800
PGSC0003DMP400055366,1860000,3292600,1400500
PGSC0003DMP400038185,917050,1921900,1392000
PGSC0003DMP400010730,1213800,1406200,1379500
PGSC0003DMP400006586,1327400,1739300,1377100
PGSC0003DMP400027098,1754500,286730,1366400
PGSC0003DMP400039427,421130,1063500,1356500
PGSC0003DMP400038685,2815600,3773900,1349600
PGSC0003DMP400017597,606010,1299200,1316500
PGSC0003DMP400031773,1298200,1398200,1304600
PGSC0003DMP400062190,1769500,2097700,1291000
PGSC0003DMP400052320,1465100,2027800,1280700
PGSC0003DMP400035708,1069800,821420,1261400
PGSC0003DMP400043521,667630,618130,1249500
PGSC0003DMP400014350,424250,0,1245300
PGSC0003DMP400026357,1526700,1957800,1245100
PGSC0003DMP400020790,1571800,2033700,1243900
PGSC0003DMP400034267,1361200,1682200,1220700
PGSC0003DMP400029964,1111000,0,1215500
PGSC0003DMP400007331,1492700,2217900,1212200
PGSC0003DMP400056071,10488000,4756500,1211400
PGSC0003DMP400054045,0,1009600,1202800
PGSC0003DMP400050083,351560,1056500,1191600
PGSC0003DMP400010226,486310,0,1189800
PGSC0003DMP400012911,881130,1122000,1189400
PGSC0003DMP400012204,1063500,1608900,1186700
PGSC0003DMP400008318,994590,1089800,1183500
PGSC0003DMP400017594,3249400,1226800,1182100
PGSC0003DMP400006266,571640,0,1181400
PGSC0003DMP400026964,1995500,961890,1171100
PGSC0003DMP400010459,265620,96335,1083400
PGSC0003DMP400051800,1103500,1544400,1083000
PGSC0003DMP400007618,1058400,846810,1081000
PGSC0003DMP400044436,206150,157930,1080400
PGSC0003DMP400002518,0,7878400,1066200
PGSC0003DMP400014822,1709700,2526700,1060500
PGSC0003DMP400059687,688720,242680,1059600
PGSC0003DMP400039917,908560,315010,1056300
PGSC0003DMP400018259,665110,881860,1053200
PGSC0003DMP400008566,262070,243590,1052200
PGSC0003DMP400041444,0,0,1041600
PGSC0003DMP400001305,1461800,0,1039900
PGSC0003DMP400003002,403400,365610,1017900
PGSC0003DMP400028336,99319,908470,1012000
PGSC0003DMP400007443,0,237940,1010600
PGSC0003DMP400015817,1079900,361840,1007000
PGSC0003DMP400031281,682760,812150,1005200
PGSC0003DMP400004891,559970,768280,1002200
PGSC0003DMP400000058,662370,691650,993600
PGSC0003DMP400046397,612220,766580,989380
PGSC0003DMP400042798,301350,459980,983780
PGSC0003DMP400019802,67020,734990,980790
PGSC0003DMP400013834,1322000,1361000,976870
PGSC0003DMP400050495,1333000,2234600,971900
PGSC0003DMP400023286,191810,234110,956120
PGSC0003DMP400010939,392470,508840,955300
PGSC0003DMP400049852,469450,635970,949700
PGSC0003DMP400039117,1046900,1040300,941560
PGSC0003DMP400053876,579960,664320,939220
PGSC0003DMP400032301,3751300,5015300,938480
PGSC0003DMP400055278,64411,79461,931920
PGSC0003DMP400031314,1113600,1275700,927520
PGSC0003DMP400054414,577910,1134400,915330
PGSC0003DMP400053664,526730,304040,912530
PGSC0003DMP400054673,1608200,3700200,909420
PGSC0003DMP400049289,1027500,556780,909280
PGSC0003DMP400048961,572420,907040,905240
PGSC0003DMP400011796,518750,967970,903240
PGSC0003DMP400022865,1033300,2900100,899520
PGSC0003DMP400002882,262310,260190,897130
PGSC0003DMP400038603,0,810540,892690
PGSC0003DMP400045324,0,1409800,876780
PGSC0003DMP400038453,724900,304240,857410
PGSC0003DMP400015215,380930,81104,854310
PGSC0003DMP400038623,512050,370270,846090
PGSC0003DMP400063871,481610,35504,841850
PGSC0003DMP400049347,86179,175150,839170
PGSC0003DMP400008648,2640900,1908000,838830
PGSC0003DMP400000071,495390,389560,836190
PGSC0003DMP400049374,9781300,7278600,824480
PGSC0003DMP400047126,85915,292480,822970
PGSC0003DMP400043467,1220900,5008100,822780
PGSC0003DMP400041615,433970,363900,803210
PGSC0003DMP400012952,228980,787540,794340
PGSC0003DMP400000258,65625,137090,791190
PGSC0003DMP400022558,886110,584980,773270
PGSC0003DMP400034120,300000,436080,772050
PGSC0003DMP400051586,1251400,206340,772050
PGSC0003DMP400028559,2263200,667550,771030
PGSC0003DMP400002846,866920,1569900,770050
PGSC0003DMP400020748,288830,0,765020
PGSC0003DMP400029245,1335600,0,763010
PGSC0003DMP400007966,849170,996750,761350
PGSC0003DMP400014926,0,362150,756530
PGSC0003DMP400025060,0,73059,733580
PGSC0003DMP400065069,2659900,4256800,727570
PGSC0003DMP400004984,2389500,1760100,725000
PGSC0003DMP400015541,486200,1072500,718980
PGSC0003DMP400017381,385610,145470,715320
PGSC0003DMP400035856,1037200,867050,708200
PGSC0003DMP400030926,1819300,0,702950
PGSC0003DMP400016518,0,0,697280
PGSC0003DMP400007153,0,363390,690630
PGSC0003DMP400049442,187440,311390,686860
PGSC0003DMP400045354,609300,707350,683340
PGSC0003DMP400008776,740750,0,670960
PGSC0003DMP400036811,1983500,284390,662860
PGSC0003DMP400035310,130890,0,661550
PGSC0003DMP400014152,0,1426100,660690
PGSC0003DMP400007033,0,0,659060
PGSC0003DMP400018475,377210,481160,648390
PGSC0003DMP400047783,187600,486910,647260
PGSC0003DMP400019801,35751,383290,645430
PGSC0003DMP400031813,146220,464620,643910
PGSC0003DMP400015450,0,0,642730
PGSC0003DMP400031749,68799,543000,634210
PGSC0003DMP400023547,543810,679340,628520
PGSC0003DMP400051019,311080,2625100,627330
PGSC0003DMP400043236,0,0,625530
PGSC0003DMP400046058,4578200,106830,614240
PGSC0003DMP400052411,2095300,4654500,609740
PGSC0003DMP400037351,382150,1547500,604630
PGSC0003DMP400048469,354320,0,603140
PGSC0003DMP400022930,621270,784570,600880
PGSC0003DMP400040957,0,158630,595200
PGSC0003DMP400032627,63829,0,593950
PGSC0003DMP400048006,1556400,1950300,586720
PGSC0003DMP400015091,316080,948290,573530
PGSC0003DMP400007173,150330,183140,572010
PGSC0003DMP400036161,703720,660260,566030
PGSC0003DMP400011041,429580,1123600,560390
PGSC0003DMP400017506,241910,538980,560310
PGSC0003DMP400026978,676640,459700,558890
PGSC0003DMP400015599,280780,939420,553530
PGSC0003DMP400053996,521890,1486600,546110
PGSC0003DMP400001290,691130,1254100,527920
PGSC0003DMP400014162,302360,586440,524520
PGSC0003DMP400035696,141430,177590,519860
PGSC0003DMP400046906,803450,546760,513650
PGSC0003DMP400044101,294490,680530,511860
PGSC0003DMP400041531,304040,563610,511430
PGSC0003DMP400035617,143210,209090,504290
PGSC0003DMP400040947,679890,527150,502100
PGSC0003DMP400042780,433440,513040,499170
PGSC0003DMP400023450,0,0,498960
PGSC0003DMP400025631,0,376420,497470
PGSC0003DMP400028510,0,364410,496770
PGSC0003DMP400019901,678700,0,492400
PGSC0003DMP400020557,241510,650420,488940
PGSC0003DMP400045891,449050,639530,488270
PGSC0003DMP400026647,502630,1170700,487890
PGSC0003DMP400014213,585090,0,481100
PGSC0003DMP400002753,133200,345780,480290
PGSC0003DMP400040587,258640,0,472100
PGSC0003DMP400055597,312420,109060,468010
PGSC0003DMP400002323,1573300,3415800,464380
PGSC0003DMP400024020,3018500,4115900,459060
PGSC0003DMP400011267,356110,758090,458990
PGSC0003DMP400043205,43296,0,457810
PGSC0003DMP400013890,261510,95897,444350
PGSC0003DMP400017168,391250,621360,442480
PGSC0003DMP400019507,98400,199900,441720
PGSC0003DMP400025759,191380,686990,441030
PGSC0003DMP400015570,0,0,440970
PGSC0003DMP400016146,0,117050,436110
PGSC0003DMP400028766,110520,206210,434240
PGSC0003DMP400049029,879060,0,424160
PGSC0003DMP400006982,0,692390,418290
PGSC0003DMP400053358,644620,1475200,408130
PGSC0003DMP400008460,89487,263790,407440
PGSC0003DMP400045554,1344600,0,401630
PGSC0003DMP400048843,671810,271680,398760
PGSC0003DMP400002237,0,248080,395850
PGSC0003DMP400000860,0,148300,393840
PGSC0003DMP400019515,6526900,32033000,392930
PGSC0003DMP400004167,709880,0,387180
PGSC0003DMP400027938,330090,544820,377310
PGSC0003DMP400014534,5790600,8953000,373180
PGSC0003DMP400002125,122720,540060,372450
PGSC0003DMP400028054,287330,351350,370900
PGSC0003DMP400000939,179270,107010,367610
PGSC0003DMP400028316,49273,0,366610
PGSC0003DMP400003459,2899700,5495100,366190
PGSC0003DMP400016503,270350,92494,361510
PGSC0003DMP400001336,0,0,353960
PGSC0003DMP400026589,950640,781920,352750
PGSC0003DMP400018071,756340,333070,350580
PGSC0003DMP400004477,570900,1172100,350550
PGSC0003DMP400053238,1126400,352760,350010
PGSC0003DMP400022077,194300,6018800,348370
PGSC0003DMP400040123,0,0,347860
PGSC0003DMP400014209,322040,0,347350
PGSC0003DMP400027058,208920,78754,346390
PGSC0003DMP400034029,230260,426590,344980
PGSC0003DMP400018535,142520,112980,344940
PGSC0003DMP400001433,280400,5066200,337350
PGSC0003DMP400020840,0,673680,328340
PGSC0003DMP400001632,5417600,10640000,326020
PGSC0003DMP400005586,718440,534000,325530
PGSC0003DMP400009970,1196300,4237100,324660
PGSC0003DMP400021683,312510,220070,320320
PGSC0003DMP400013343,0,202450,313370
PGSC0003DMP400031412,83656,101340,311310
PGSC0003DMP400045703,62166,427750,309930
PGSC0003DMP400032281,0,351040,307550
PGSC0003DMP400020187,0,0,307090
PGSC0003DMP400002461,618960,374080,305470
PGSC0003DMP400050503,320080,280910,302220
PGSC0003DMP400001967,204660,657830,300420
PGSC0003DMP400051168,1589700,2570100,300010
PGSC0003DMP400013302,627140,797110,294470
PGSC0003DMP400035199,0,273270,294000
PGSC0003DMP400019670,0,307140,280610
PGSC0003DMP400001722,0,76417,279800
PGSC0003DMP400025379,351840,79501,272150
PGSC0003DMP400031029,1715100,733330,265440
PGSC0003DMP400038764,420360,376550,265270
PGSC0003DMP400049366,481310,947840,262930
PGSC0003DMP400010988,90282,0,262070
PGSC0003DMP400043329,407490,498550,256790
PGSC0003DMP400026590,77125,0,253180
PGSC0003DMP400033839,124930,856560,253000
PGSC0003DMP400046532,1157300,1249600,240490
PGSC0003DMP400033895,71065,314170,237930
PGSC0003DMP400046710,2399400,1259900,237410
PGSC0003DMP400013944,0,267090,235460
PGSC0003DMP400054063,281560,504420,234020
PGSC0003DMP400043078,0,0,227210
PGSC0003DMP400056591,73713,0,222090
PGSC0003DMP400026165,80424,143760,221160
PGSC0003DMP400039372,169230,0,214730
PGSC0003DMP400015309,489270,156170,207470
PGSC0003DMP400005551,464290,504980,195570
PGSC0003DMP400013123,0,765140,193060
PGSC0003DMP400008494,436210,168740,192090
PGSC0003DMP400034134,332550,233220,191660
PGSC0003DMP400042846,418700,559390,191420
PGSC0003DMP400053194,311450,352250,190080
PGSC0003DMP400018006,855050,39821000,189300
PGSC0003DMP400046501,105000,0,189210
PGSC0003DMP400018472,86545,103430,188780
PGSC0003DMP400042200,2302500,149140,185580
PGSC0003DMP400069010,0,380090,185280
PGSC0003DMP400019004,82156,83670,184770
PGSC0003DMP400018092,415710,135280,184390
PGSC0003DMP400008192,0,143010,174420
PGSC0003DMP400012738,146220,231130,170790
PGSC0003DMP400001261,13782000,13514000,168910
PGSC0003DMP400020092,1671000,7770000,165760
PGSC0003DMP400017124,48447,157780,159830
PGSC0003DMP400051612,0,17664,156340
PGSC0003DMP400044945,93424,651830,156190
PGSC0003DMP400053026,0,32279,145900
PGSC0003DMP400048236,79509,114960,145770
PGSC0003DMP400000699,0,0,143880
PGSC0003DMP400054264,60653,306200,143480
PGSC0003DMP400007371,578140,0,140810
PGSC0003DMP400044756,18705,0,140490
PGSC0003DMP400044489,0,0,139950
PGSC0003DMP400002523,69667,113850,137510
PGSC0003DMP400022504,1920000,2298700,136710
PGSC0003DMP400006535,0,413650,135230
PGSC0003DMP400022802,63568,90701,132590
PGSC0003DMP400009482,0,73383,130890
PGSC0003DMP400011528,50977,381590,130310
PGSC0003DMP400017448,0,213940,127030
PGSC0003DMP400052852,0,0,123900
PGSC0003DMP400053397,221590,73101,121010
PGSC0003DMP400003226,212860,103540,119620
PGSC0003DMP400041124,0,135760,119080
PGSC0003DMP400047296,270430,267360,115100
PGSC0003DMP400032073,0,1201300,113730
PGSC0003DMP400013289,102130,229520,108770
PGSC0003DMP400034528,205080,860870,108620
PGSC0003DMP400028334,0,241140,108620
PGSC0003DMP400052931,155360,67701,107200
PGSC0003DMP400001650,0,418450,104580
PGSC0003DMP400020660,0,1968400,100130
PGSC0003DMP400010903,0,55850,99411
PGSC0003DMP400007322,115750,444150,98991
PGSC0003DMP400051855,0,293830,97402
PGSC0003DMP400008775,0,0,94057
PGSC0003DMP400051809,388000,554020,93712
PGSC0003DMP400051079,0,48766,93256
PGSC0003DMP400015375,30388,47527,92763
PGSC0003DMP400000855,458720,184780,92102
PGSC0003DMP400051180,297010,161760,91156
PGSC0003DMP400005932,0,0,90865
PGSC0003DMP400032614,90639,0,89128
PGSC0003DMP400000081,0,0,88839
PGSC0003DMP400046883,0,44077,84955
PGSC0003DMP400036854,242160,0,84668
PGSC0003DMP400028363,44593,0,84535
PGSC0003DMP400021819,82113,0,83808
PGSC0003DMP400004499,173120,83269,82072
PGSC0003DMP400009575,0,0,79742
PGSC0003DMP400043511,0,72913,76830
PGSC0003DMP400017686,1077200,1910300,72287
PGSC0003DMP400054475,76391,48008,69697
PGSC0003DMP400038817,58501,235740,65186
PGSC0003DMP400046394,0,0,64706
PGSC0003DMP400033560,0,2722900,64125
PGSC0003DMP400001377,0,0,61694
PGSC0003DMP400027836,47510,47381,61486
PGSC0003DMP400024120,0,0,59978
PGSC0003DMP400011647,283790,119100,54547
PGSC0003DMP400040626,0,132130,51121
PGSC0003DMP400040933,55625,1546600,49691
PGSC0003DMP400014286,0,0,48369
PGSC0003DMP400050055,0,57534,47388
PGSC0003DMP400019261,464400,171490,46506
PGSC0003DMP400019828,81029,33649,38208
PGSC0003DMP400042753,0,38428,32721
PGSC0003DMP400026983,32779,66578,32129
PGSC0003DMP400035725,138870,385780,20062
PGSC0003DMP400023622,84025,9342.1,15448
PGSC0003DMP400008029,27170000,17531000,0
PGSC0003DMP400000413,11198000,14300000,0
PGSC0003DMP400006170,5511000,10070000,0
PGSC0003DMP400005231,3894500,4316800,0
PGSC0003DMP400037174,2981700,4085100,0
PGSC0003DMP400018422,0,4079800,0
PGSC0003DMP400033828,3627200,3700900,0
PGSC0003DMP400048836,0,3332600,0
PGSC0003DMP400005719,331100,3031800,0
PGSC0003DMP400013971,2708100,2638300,0
PGSC0003DMP400042879,2575300,2213700,0
PGSC0003DMP400017654,908370,2036100,0
PGSC0003DMP400008606,3429700,1688200,0
PGSC0003DMP400022971,451750,1220000,0
PGSC0003DMP400018966,1199100,1190500,0
PGSC0003DMP400024216,1263400,1155400,0
PGSC0003DMP400008174,1987500,1077700,0
PGSC0003DMP400053889,63399,814510,0
PGSC0003DMP400057304,0,773770,0
PGSC0003DMP400021731,280220,737860,0
PGSC0003DMP400012531,367610,549130,0
PGSC0003DMP400049330,258140,453090,0
PGSC0003DMP400029651,88151,429870,0
PGSC0003DMP400052955,578400,398390,0
PGSC0003DMP400056198,334090,356190,0
PGSC0003DMP400045895,0,339240,0
PGSC0003DMP400042898,47834,322350,0
PGSC0003DMP400016065,1158700,301820,0
PGSC0003DMP400015506,695000,265970,0
PGSC0003DMP400015278,1260300,262820,0
PGSC0003DMP400016192,169470,254020,0
PGSC0003DMP400049710,62990,246890,0
PGSC0003DMP400006705,0,215930,0
PGSC0003DMP400001166,155290,129380,0
PGSC0003DMP400028549,334110,90944,0
PGSC0003DMP400038248,40549,90634,0
PGSC0003DMP400012514,69000,36393,0
PGSC0003DMP400045235,2371200,0,0
PGSC0003DMP400014665,799380,0,0
PGSC0003DMP400005580,515980,0,0
PGSC0003DMP400047062,295940,0,0
PGSC0003DMP400009813,141080,0,0
PGSC0003DMP400009332,136020,0,0
PGSC0003DMP400000010,64744,0,0
PGSC0003DMP400014471,0,0,0
PGSC0003DMP400025375,0,0,0
