Majority protein IDs,iBAQ C,iBAQ M,iBAQ MTBE
PGSC0003DMP400056248,19638000,34521000,25041000
PGSC0003DMP400004292,11699000,13879000,24993000
PGSC0003DMP400003795,18065000,36404000,24875000
PGSC0003DMP400048869,22260000,30481000,24345000
PGSC0003DMP400042396,16601000,23392000,24308000
PGSC0003DMP400029940,26914000,22382000,24282000
PGSC0003DMP400052979,18145000,28989000,24184000
PGSC0003DMP400051386,20756000,17954000,24157000
PGSC0003DMP400042799,19188000,15751000,23990000
PGSC0003DMP400053772,30478000,53706000,23923000
PGSC0003DMP400024298,19006000,26244000,23579000
PGSC0003DMP400021915,12439000,30734000,23374000
PGSC0003DMP400040850,16478000,30124000,23364000
PGSC0003DMP400016818,25629000,44909000,23158000
PGSC0003DMP400017626,15180000,16354000,23128000
PGSC0003DMP400035854,23814000,27019000,23002000
PGSC0003DMP400039337,5222100,20176000,22963000
PGSC0003DMP400056118,6277400,8433200,22636000
PGSC0003DMP400036738,21482000,9596100,22456000
PGSC0003DMP400007227,9089300,18099000,22379000
PGSC0003DMP400010984,19845000,21929000,22274000
PGSC0003DMP400052850,15820000,24347000,22023000
PGSC0003DMP400028189,23910000,15603000,21935000
PGSC0003DMP400017366,117760000,246840000,21880000
PGSC0003DMP400040545,7147900,12264000,21499000
PGSC0003DMP400051590,26442000,36297000,21295000
PGSC0003DMP400035289,20820000,19225000,21232000
PGSC0003DMP400026409,42788000,37880000,20683000
PGSC0003DMP400009065,17375000,11930000,20680000
PGSC0003DMP400017046,21348000,24206000,20217000
PGSC0003DMP400033333,15872000,16627000,20193000
PGSC0003DMP400035507,15297000,27887000,19977000
PGSC0003DMP400040238,12185000,17812000,19722000
PGSC0003DMP400003147,23416000,14496000,19312000
PGSC0003DMP400006459,41127000,56184000,19299000
PGSC0003DMP400009360,2580900,4428800,18982000
PGSC0003DMP400012883,10605000,16183000,18849000
PGSC0003DMP400022845,15023000,17409000,18577000
PGSC0003DMP400013843,9882100,11198000,18575000
PGSC0003DMP400042192,30836000,39367000,18161000
PGSC0003DMP400046816,14827000,38102000,17973000
PGSC0003DMP400015807,11726000,15344000,17931000
PGSC0003DMP400055303,7904100,9719200,17507000
PGSC0003DMP400005232,21663000,26178000,17491000
PGSC0003DMP400043902,17021000,18723000,17332000
PGSC0003DMP400022271,9671300,7971900,16823000
PGSC0003DMP400007498,19861000,19943000,16807000
PGSC0003DMP400013800,12871000,16764000,16802000
PGSC0003DMP400020190,10080000,19894000,16796000
PGSC0003DMP400015440,17648000,18249000,16447000
PGSC0003DMP400038786,14754000,17539000,16390000
PGSC0003DMP400018842,27674000,31074000,16245000
PGSC0003DMP400041520,14846000,21663000,16240000
PGSC0003DMP400041188,9531400,13325000,16128000
PGSC0003DMP400004986,14848000,14785000,15625000
PGSC0003DMP400066623,18006000,25430000,15508000
PGSC0003DMP400042657,9302200,6617300,15490000
PGSC0003DMP400050964,60264000,82130000,15448000
PGSC0003DMP400006531,6089100,7290500,15438000
PGSC0003DMP400009357,1130500,6218200,15128000
PGSC0003DMP400017553,8049100,11688000,15067000
PGSC0003DMP400028335,9549700,12821000,14918000
PGSC0003DMP400027097,9404200,16375000,14839000
PGSC0003DMP400043596,5491300,12306000,14709000
PGSC0003DMP400035517,17588000,15106000,14669000
PGSC0003DMP400021944,15690000,10638000,14632000
PGSC0003DMP400055446,14712000,24284000,14497000
PGSC0003DMP400047202,6779200,13123000,14449000
PGSC0003DMP400036684,9397000,13039000,14317000
PGSC0003DMP400029039,6111200,7985100,14285000
PGSC0003DMP400039031,25392000,26101000,14269000
PGSC0003DMP400013565,9238800,19315000,14022000
PGSC0003DMP400002095,12808000,13629000,14015000
PGSC0003DMP400016183,9593400,8908200,14005000
PGSC0003DMP400044199,14364000,19060000,13549000
PGSC0003DMP400049868,3097300,4333700,13525000
PGSC0003DMP400035260,8479900,26969000,13364000
PGSC0003DMP400024478,1258600,19399000,13256000
PGSC0003DMP400010945,4145900,5420500,13145000
PGSC0003DMP400068995,9440300,12041000,13131000
PGSC0003DMP400043144,9500600,25556000,13074000
PGSC0003DMP400016338,16969000,30932000,12868000
PGSC0003DMP400039675,13802000,14247000,12777000
PGSC0003DMP400010377,7774300,8591500,12579000
PGSC0003DMP400022472,6442200,28784000,12520000
PGSC0003DMP400050837,6487600,6322000,12370000
PGSC0003DMP400027586,7297300,10904000,12224000
PGSC0003DMP400046726,8092700,9592600,12191000
PGSC0003DMP400012396,5918100,5795300,12124000
PGSC0003DMP400017263,13715000,12096000,12068000
PGSC0003DMP400046033,4975500,9164000,11914000
PGSC0003DMP400026892,6845000,7572600,11800000
PGSC0003DMP400007420,5381900,11741000,11761000
PGSC0003DMP400008485,14048000,21491000,11751000
PGSC0003DMP400015542,11724000,8015400,11703000
PGSC0003DMP400043749,9665900,12488000,11661000
PGSC0003DMP400016325,3914900,3950200,11609000
PGSC0003DMP400003085,9817900,14790000,11569000
PGSC0003DMP400053771,23657000,35381000,11565000
PGSC0003DMP400042355,18940000,22248000,11472000
PGSC0003DMP400034968,13277000,12495000,11318000
PGSC0003DMP400007881,6047600,15791000,11236000
PGSC0003DMP400053669,6862000,11622000,11176000
PGSC0003DMP400053197,10271000,12620000,11001000
PGSC0003DMP400021700,3070200,3873200,10881000
PGSC0003DMP400046035,1977600,9848500,10585000
PGSC0003DMP400013224,28496000,20159000,10504000
PGSC0003DMP400036181,5548200,9569000,10426000
PGSC0003DMP400031685,6503200,1746200,10375000
PGSC0003DMP400005278,7369700,9266800,10187000
PGSC0003DMP400014408,5467400,8949100,10048000
PGSC0003DMP400052521,6646100,7664000,10036000
PGSC0003DMP400012889,7640000,9718300,10007000
PGSC0003DMP400003107,10235000,8370100,9902100
PGSC0003DMP400002369,8675300,10354000,9868700
PGSC0003DMP400034568,3213600,7697600,9765700
PGSC0003DMP400023242,2136800,5527100,9745300
PGSC0003DMP400008482,6544300,12438000,9723600
PGSC0003DMP400041832,9364700,11810000,9602900
PGSC0003DMP400018879,3522600,4919000,9506300
PGSC0003DMP400012170,8636000,7116600,9471200
PGSC0003DMP400005758,16295000,14446000,9415200
PGSC0003DMP400049228,6720400,8317900,9380800
PGSC0003DMP400036880,11437000,11582000,9325100
PGSC0003DMP400040213,11552000,12897000,9324300
PGSC0003DMP400032574,1688800,14646000,9286000
